Time [s];Position [°];Current [A];Voltage [V];;;;;;
0;190,283;0,000;0,004;;;;;;
0,001;190,283;0,000;0,004;;;;;;
0,002;190,195;0,000;0,004;;;;;;
0,003;190,195;0,000;0,004;;;;;;
0,004;190,195;0,000;-0,004;;;;;;
0,005;190,195;0,000;-0,004;;;;;;
0,006;190,195;0,000;0,000;;;;;;
0,007;190,195;0,000;0,000;;;;;;
0,008;190,195;0,000;0,000;;;;;;
0,009;190,195;0,000;-0,004;;;;;;
0,01;190,195;0,000;-0,004;;;;;;
0,011;190,195;0,000;-0,004;;;;;;
0,012;190,195;0,000;-0,004;;;;;;
0,013;190,283;0,000;0,004;;;;;;
0,014;190,283;0,000;0,004;;;;;;
0,015;190,195;0,000;0,004;;;;;;
0,016;190,195;0,000;0,004;;;;;;
0,017;190,283;0,000;0,000;;;;;;
0,018;190,283;0,000;0,000;;;;;;
0,019;190,283;0,000;0,000;;;;;;
0,02;190,283;0,000;0,000;;;;;;
0,021;190,283;0,000;0,000;;;;;0,000279;V
0,022;190,283;0,000;0,000;;;;;0,0000479;A
0,023;190,283;0,000;-0,008;;;;;0,00188;°
0,024;190,283;0,000;-0,008;;;;;;
0,025;190,283;0,000;0,000;;;;;;
0,026;190,283;0,000;0,000;;;;;;
0,027;190,283;0,000;-0,004;;;;;;
0,028;190,283;0,000;-0,004;;;;;;
0,029;190,195;0,000;0,004;;;;;;
0,03;190,195;0,000;0,004;;;;;;
0,031;190,283;0,000;0,000;;;;;;
0,032;190,283;0,000;0,000;;;;;;
0,033;190,195;0,000;-0,004;;;;;;
0,034;190,195;0,000;-0,004;;;;;;
0,035;190,283;0,000;0,000;;;;;;
0,036;190,283;0,000;0,000;;;;;;
0,037;190,195;0,000;-0,004;;;;;;
0,038;190,195;0,000;-0,004;;;;;;
0,039;190,195;0,000;0,000;;;;;;
0,04;190,195;0,000;0,000;;;;;;
0,041;190,195;0,000;0,004;;;;;;
0,042;190,195;0,000;0,004;;;;;;
0,043;190,195;0,000;0,004;;;;;;
0,044;190,195;0,000;0,004;;;;;;
0,045;190,195;0,000;0,000;;;;;;
0,046;190,195;0,000;0,000;;;;;;
0,047;190,195;0,000;0,000;;;;;;
0,048;190,195;0,000;0,000;;;;;;
0,049;190,195;0,000;0,000;;;;;;
0,05;190,195;0,000;0,000;;;;;;
0,051;190,195;0,000;0,000;;;;;;
0,052;190,195;0,000;0,000;;;;;;
0,053;190,195;0,000;0,000;;;;;;
0,054;190,195;0,000;0,000;;;;;;
0,055;190,195;0,000;0,004;;;;;;
0,056;190,195;0,000;0,004;;;;;;
0,057;190,195;0,000;0,004;;;;;;
0,058;190,195;0,000;0,004;;;;;;
0,059;190,195;0,000;0,004;;;;;;
0,06;190,195;0,000;0,004;;;;;;
0,061;190,283;0,000;0,000;;;;;;
0,062;190,283;0,000;0,000;;;;;;
0,063;190,283;0,000;0,000;;;;;;
0,064;190,283;0,000;0,000;;;;;;
0,065;190,283;0,000;0,000;;;;;;
0,066;190,283;0,000;0,004;;;;;;
0,067;190,283;0,000;0,004;;;;;;
